Opportunity Number,Division Name,Property Name,Opp Status,Start Date,Weighted Pipeline,Probability,Estimated $,Opportunity Name,Estimated Labor Hours,Weighted Hours,Last Activity Date,Proposed Date
1523,Commercial Maintenance,Church of Jesus Christ - Kelowna,Approved (internal),04/01/26,24350,1,24350,2026 Maintenance Agreement ,314,314,,
1524,Commercial Maintenance,Church of Jesus Christ - West Kelowna,Approved (internal),04/01/26,20355,1,20355,2025 Maintenance Agreement RENEWAL,261.99,261.99,,
993,Construction,Fillion Residence,Approved (internal),05/01/26,110718.984,0.6,184531.64,Phase 1 Landscaping,731,438.6,,
2007,Construction,Fortis - #275 - 4035 Gellatly: SAP 41720290,Approved (internal),04/06/26,569.01,1,569.01,Construction Template,4,4,,
790,Construction,Stevens Residence,Approved (internal),04/01/26,2458.08,0.5,4916.16,Retaining Wall Repair,51.5,25.75,08/11/2025,
984,Construction,943 Fuller Ave,Approved (internal),04/01/26,6096.59,0.25,24386.36,943 Fuller Ave Landscape Installation,151,37.75,,
985,Construction,"The Owners, Strata Plan KAS199",Approved (internal),04/01/26,2298.69,0.75,3064.92,Landscape Renovation - Phase 2,22,16.5,,
1240,Construction,Magnolia Gardens,Approved (internal),04/01/26,13066.38,0.5,26132.76,Retaining Wall Renovation,221,110.5,,
1622,Construction,Waterfront Townhomes: Green Bay,Approved (internal),03/31/26,4524.858,0.6,7541.43,Fence Line Cedars,35,21,,
638,Construction,Stober - Laurentian Heights,Approved (internal),03/01/26,1318.3675,0.25,5273.47,Cedar Removal - Building D,48.5,12.125,,
953,Construction,Pendleton Residence,Approved (internal),03/01/26,1715.193,0.9,1905.77,Irrigation Clock Installation,6,5.4,,
1028,Construction,Holiday Inn Express Kelowna,Approved (internal),03/01/26,15662.492,0.4,39156.23,Landscape Renovation - Budgetary Quotation,295,118,,
1098,Construction,Sherri Chambers Residence,Approved (internal),03/01/26,1698.3675,0.75,2264.49,25-10-458339 - Sherri/Brian Chambers Landscpaing ,17.5,13.125,,
1961,Residential Maintenance,Borland Residence,Approved (internal),03/23/26,400,0.5,800,Design,8,4,,
1773,Residential Maintenance,Lenz Residence,Approved (internal),03/01/26,213.93,0.9,237.7,2026 Maintenance Agreement,2.53,2.277,,
1789,Residential Maintenance,Leung Residence,Approved (internal),03/01/26,3750,0.5,7500,2026 Residential Maintenance,100,50,,
1949,Residential Maintenance,Peterson Residence,Approved (internal),03/01/26,2430,0.25,9720,2026 Maintenance Agreement,128,32,,
1547,Commercial Maintenance,CJ Holdings,Bidding,07/01/26,480,1,480,2025 Commercial Maintenance RENEWAL,6,6,,
1593,Commercial Maintenance,(Devon) Lakeview Pointe,Bidding,05/01/26,3302.25,0.1,33022.5,Commercial Maintenance Contract,411,41.1,01/09/2026,
1881,Commercial Maintenance,KOVO Kelowna,Bidding,04/15/26,3770.55,0.57,6615,2026 Seasonal Pots,27,15.39,,
1555,Commercial Maintenance,ProSource Kelowna,Bidding,04/01/26,800,1,800,2025 Maintenance Agreement RENEWAL,10,10,,
1558,Commercial Maintenance,Big Steel Box,Bidding,04/01/26,1460,1,1460,2025 Commercial Maintenance RENEWAL,12,12,,
1225,Commercial Maintenance,Phoenix (Stober),Bidding,03/01/26,385,0.5,770,2026 Maintenance Agreement,9,4.5,,
2004,Commercial Maintenance,Mid Mountain Developments - Husky,Bidding,03/01/26,3040,1,3040,Spring Cleanup,40,40,04/01/2026,
1805,Commercial Maintenance,KAS 2279 - 1255 Bernard Ave,Bidding,02/09/26,990,0.5,1980,2026 Cedar Hedge Trim,24,12,,
1825,Construction,Sieben Residence,Bidding,06/02/26,1054.05,0.75,1405.4,Side Yard Renos,11.75,8.8125,03/30/2026,
1096,Construction,Dionne Residence,Bidding,05/25/26,9719.61,1,9719.61,Yard Renovations,71.5,71.5,09/24/2025,
1980,Construction,Fairfield Inn & Suites Kelowna,Bidding,05/25/26,52601.7375,0.75,70135.65,Landscape Renovation - Budgetary Quotation - Rev 1,465,348.75,,
2008,Construction,Forzani Residence,Bidding,05/18/26,5452.9685,0.35,15579.91,Hot Tub Fire Table,13,4.55,,
1979,Construction,Osachoff Residence,Bidding,05/05/26,28462.0275,0.75,37949.37,Shed Roof Repairs and Sauna,21,15.75,,
1964,Construction,Bill Blenkhorn,Bidding,04/30/26,348.875,0.25,1395.5,Cedar Removal and Fencing,14,3.5,,
1993,Construction,M & B. Forzani Residence,Bidding,04/17/26,280.386,0.9,311.54,Glass Railing,3,2.7,,
1099,Construction,Andrea Fiechter Residence,Bidding,04/01/26,13558.95,0.5,27117.9,Landscape Renovation (Island Bed),164.5,82.25,,
